Timestamp,Mode,Target,Model,Encoding,Qubits,Max_Layers,Seed,Kernel_Type,Train_Kernel,Kernel_Optimizer,Optimizer,Tuner,CV_Folds,Features,PCA_Components,Baseline_MAE_kcal_mol,CV_MAE_kcal_mol,Test_MAE_kcal_mol,Test_STD_kcal_mol,Test_MSE_label,Train_Loss_or_TrainMSE,Best_Params
123721,delta,AE,QKRR,cpkernel,3,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.5688,11.0344,121.801551,128.533387,"OrderedDict([('alpha', 2.1428326881880833e-06)])"
123732,delta,AE,QKRR,multicontrol,3,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.4189,10.8347,117.411777,124.304758,"OrderedDict([('alpha', 0.008728463816119025)])"
123805,delta,AE,QKRR,cpkernel,3,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.6112,10.9742,120.484601,129.044361,"OrderedDict([('alpha', 2.1428326881880833e-06)])"
123812,delta,AE,QKRR,multicontrol,3,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.2833,10.6645,113.757055,119.890226,"OrderedDict([('alpha', 0.0001289767966448666)])"
123826,delta,AE,QKRR,cpkernel,3,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.6221,11.0618,122.405737,130.303388,"OrderedDict([('alpha', 2.1428326881880833e-06)])"
123840,delta,AE,QKRR,paramz,5,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.966,10.7051,114.623734,116.566934,"OrderedDict([('alpha', 0.0008877153162290374)])"
123903,delta,AE,QKRR,multicontrol,5,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.7286,10.3751,107.716254,112.616861,"OrderedDict([('alpha', 4.9834166865567056e-05)])"
123913,delta,AE,QKRR,cpkernel,5,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.7649,10.4027,108.305774,113.580492,"OrderedDict([('alpha', 0.0003302408603694023)])"
123915,delta,AE,QKRR,chebyshev,3,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.1602,10.5419,111.18056,118.502603,"OrderedDict([('alpha', 1e-06)])"
123918,delta,AE,QKRR,hubregtsen,3,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.2848,10.6937,114.377454,121.147129,"OrderedDict([('alpha', 2.2696038108363942e-05)])"
