Timestamp,Mode,Target,Model,Encoding,Qubits,Max_Layers,Seed,Kernel_Type,Train_Kernel,Kernel_Optimizer,Optimizer,Tuner,CV_Folds,Features,PCA_Components,Baseline_MAE_kcal_mol,CV_MAE_kcal_mol,Test_MAE_kcal_mol,Test_STD_kcal_mol,Test_MSE_label,Train_Loss_or_TrainMSE,Best_Params
005841,delta,AE,QSVR,cpkernel,3,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.5361,11.0605,122.596784,132.024385,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
005857,delta,AE,QSVR,chebyshev,3,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.1117,10.6936,114.437983,120.945407,"OrderedDict([('C', 1000.0), ('epsilon', 0.07164574620414836)])"
005908,delta,AE,QSVR,yz_cx,3,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.2213,10.6787,114.137044,120.289394,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
005923,delta,AE,QSVR,cpkernel,3,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.5172,10.9699,120.746065,127.932864,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
005935,delta,AE,QSVR,cpkernel,3,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.4847,11.0335,122.123442,130.932969,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
005936,delta,AE,QSVR,chebyshev,5,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.2405,10.0438,100.880916,102.869657,"OrderedDict([('C', 1000.0), ('epsilon', 0.12037557294262702)])"
005945,delta,AE,QSVR,chebyshev,5,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.2868,10.1197,102.408805,103.402192,"OrderedDict([('C', 1000.0), ('epsilon', 0.2382308406065183)])"
010008,delta,AE,QSVR,highdim,3,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.2999,10.7691,116.040314,126.875144,"OrderedDict([('C', 970.7234977790065), ('epsilon', 1.4269596468018138)])"
010024,delta,AE,QSVR,cpkernel,7,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.7287,9.0246,81.62909,83.504853,"OrderedDict([('C', 1000.0), ('epsilon', 1.047848119853858)])"
010026,delta,AE,QSVR,yz_cx,3,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.343,10.8061,116.928927,122.633587,"OrderedDict([('C', 1000.0), ('epsilon', 0.26317179707545924)])"
